match_id,tournament,map_name,round_num,ct_team,t_team,ct_score,t_score,score_diff,ct_equip_value,t_equip_value,equip_advantage,ct_spend,t_spend,ct_buy_type,t_buy_type,ct_economic_regime,t_economic_regime,ct_consecutive_losses,t_consecutive_losses,half_number,round_in_half,round_phase,is_pistol,is_conversion,is_overtime,baseline_ct_win_prob,bomb_planted,first_kill_side,ct_win_streak,ct_won_lag_1,ct_won_lag_2,ct_won_lag_3,winning_side,ct_wins_round
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,1,Bad News Eagles,Imperial Esports,0,0,0,4100,4250,-150,3300,3450,Full Eco,Full Eco,broke,broke,0,0,1,1,pistol,True,False,False,0.5,True,CT,0,,,,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,2,Bad News Eagles,Imperial Esports,0,1,-1,9950,20050,-10100,10550,17900,Semi Eco,Full Buy,building,full_buy,1,0,1,2,conversion,False,True,False,0.5,True,T,-1,0.0,,,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,3,Bad News Eagles,Imperial Esports,0,2,-2,1600,21550,-19950,1400,3600,Full Eco,Full Buy,broke,full_buy,2,0,1,3,conversion,False,True,False,0.5,True,T,-2,0.0,0.0,,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,4,Bad News Eagles,Imperial Esports,0,3,-3,27000,24100,2900,26000,11700,Full Buy,Full Buy,full_buy,flush,3,0,1,4,gun,False,False,False,0.5,False,CT,0,0.0,0.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,5,Bad News Eagles,Imperial Esports,1,3,-2,27200,24400,2800,13050,23400,Full Buy,Full Buy,full_buy,flush,0,1,1,5,gun,False,False,False,0.5,False,CT,1,1.0,0.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,6,Bad News Eagles,Imperial Esports,2,3,-1,30150,4200,25950,11550,4850,Full Buy,Full Eco,flush,broke,0,2,1,6,gun,False,False,False,0.5,False,CT,2,1.0,1.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,7,Bad News Eagles,Imperial Esports,3,3,0,30350,24000,6350,4500,23000,Full Buy,Full Buy,flush,flush,0,3,1,7,gun,False,False,False,0.5,True,T,0,1.0,1.0,1.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,8,Bad News Eagles,Imperial Esports,3,4,-1,28950,21800,7150,27950,17400,Full Buy,Full Buy,flush,full_buy,1,0,1,8,gun,False,False,False,0.5,False,CT,0,0.0,1.0,1.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,9,Bad News Eagles,Imperial Esports,4,4,0,29850,1400,28450,14350,800,Full Buy,Full Eco,flush,broke,0,1,1,9,gun,False,False,False,0.5,False,CT,1,1.0,0.0,1.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,10,Bad News Eagles,Imperial Esports,5,4,1,29450,23200,6250,9900,22200,Full Buy,Full Buy,flush,flush,0,2,1,10,gun,False,False,False,0.5,True,T,0,1.0,1.0,0.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,11,Bad News Eagles,Imperial Esports,5,5,0,28050,25400,2650,16000,12700,Full Buy,Full Buy,flush,flush,1,0,1,11,gun,False,False,False,0.5,True,CT,-1,0.0,1.0,1.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,12,Bad News Eagles,Imperial Esports,5,6,-1,13450,25200,-11750,9800,20500,Semi Buy,Full Buy,building,flush,2,0,1,12,gun,False,False,False,0.5,True,T,-2,0.0,0.0,1.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,13,Bad News Eagles,Imperial Esports,5,7,-2,25600,25300,300,15650,18900,Full Buy,Full Buy,full_buy,flush,3,0,1,13,gun,False,False,False,0.5,False,T,0,0.0,0.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,14,Bad News Eagles,Imperial Esports,6,7,-1,26250,9900,16350,14000,11150,Full Buy,Semi Eco,full_buy,building,0,1,1,14,gun,False,False,False,0.5,False,CT,1,1.0,0.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,15,Bad News Eagles,Imperial Esports,7,7,0,30100,9800,20300,14850,10900,Full Buy,Semi Eco,flush,building,0,2,1,15,gun,False,False,False,0.5,False,CT,2,1.0,1.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,16,Bad News Eagles,Imperial Esports,7,8,-1,5050,4200,850,3450,3400,Semi Eco,Full Eco,broke,broke,0,0,2,1,pistol,True,False,False,0.5,True,CT,3,1.0,1.0,1.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,17,Bad News Eagles,Imperial Esports,8,8,0,21250,3000,18250,18900,3950,Full Buy,Full Eco,full_buy,broke,0,1,2,2,conversion,False,True,False,0.5,False,CT,4,1.0,1.0,1.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,18,Bad News Eagles,Imperial Esports,9,8,1,26550,23900,2650,13800,22900,Full Buy,Full Buy,full_buy,flush,0,2,2,3,conversion,False,True,False,0.5,True,T,0,1.0,1.0,1.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,19,Bad News Eagles,Imperial Esports,9,9,0,13950,21400,-7450,13550,16700,Semi Buy,Full Buy,building,full_buy,1,0,2,4,gun,False,False,False,0.5,True,T,-1,0.0,1.0,1.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,20,Bad News Eagles,Imperial Esports,9,10,-1,9000,23850,-14850,600,5750,Semi Eco,Full Buy,building,flush,2,0,2,5,gun,False,False,False,0.5,True,T,-2,0.0,0.0,1.0,T,0
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,21,Bad News Eagles,Imperial Esports,9,11,-2,26150,24150,2000,20650,16250,Full Buy,Full Buy,full_buy,flush,3,0,2,6,gun,False,False,False,0.5,False,CT,0,0.0,0.0,0.0,CT,1
bad-news-eagles-vs-imperial-m1-inferno,Antwerp,de_inferno,22,Bad News Eagles,Imperial Esports,10,11,-1,28600,23500,5100,6000,22500,Full Buy,Full Buy,flush,flush,0,1,2,7,gun,False,False,False,0.5,True,CT,1,1.0,0.0,0.0,CT,1
