match_id,tournament,map_name,round_num,ct_team,t_team,ct_score,t_score,score_diff,ct_equip_value,t_equip_value,equip_advantage,ct_spend,t_spend,ct_buy_type,t_buy_type,ct_economic_regime,t_economic_regime,ct_consecutive_losses,t_consecutive_losses,half_number,round_in_half,round_phase,is_pistol,is_conversion,is_overtime,baseline_ct_win_prob,bomb_planted,first_kill_side,ct_win_streak,ct_won_lag_1,ct_won_lag_2,ct_won_lag_3,winning_side,ct_wins_round
big-vs-fnatic-m1-overpass,Rio,de_overpass,1,BIG,Fnatic,0,0,0,4600,4350,250,3400,3350,Full Eco,Full Eco,broke,broke,0,0,1,1,pistol,True,False,False,0.52,False,T,0,,,,CT,1
big-vs-fnatic-m1-overpass,Rio,de_overpass,2,BIG,Fnatic,1,0,1,18550,1000,17550,18000,300,Semi Buy,Full Eco,full_buy,broke,0,1,1,2,conversion,False,True,False,0.52,False,CT,1,1.0,,,CT,1
big-vs-fnatic-m1-overpass,Rio,de_overpass,3,BIG,Fnatic,2,0,2,23550,23900,-350,11200,22900,Full Buy,Full Buy,full_buy,flush,0,2,1,3,conversion,False,True,False,0.52,True,T,0,1.0,1.0,,T,0
big-vs-fnatic-m1-overpass,Rio,de_overpass,4,BIG,Fnatic,2,1,1,20750,25100,-4350,13750,5000,Full Buy,Full Buy,full_buy,flush,1,0,1,4,gun,False,False,False,0.52,False,CT,0,0.0,1.0,1.0,CT,1
big-vs-fnatic-m1-overpass,Rio,de_overpass,5,BIG,Fnatic,3,1,2,26150,24300,1850,14150,23300,Full Buy,Full Buy,full_buy,flush,0,1,1,5,gun,False,False,False,0.52,True,T,0,1.0,0.0,1.0,T,0
big-vs-fnatic-m1-overpass,Rio,de_overpass,6,BIG,Fnatic,3,2,1,4350,22500,-18150,1950,17800,Full Eco,Full Buy,broke,flush,1,0,1,6,gun,False,False,False,0.52,False,T,-1,0.0,1.0,0.0,T,0
big-vs-fnatic-m1-overpass,Rio,de_overpass,7,BIG,Fnatic,3,3,0,5550,24700,-19150,7000,2900,Semi Eco,Full Buy,broke,flush,2,0,1,7,gun,False,False,False,0.52,True,T,-2,0.0,0.0,1.0,T,0
big-vs-fnatic-m1-overpass,Rio,de_overpass,8,BIG,Fnatic,3,4,-1,25300,25700,-400,25000,13000,Full Buy,Full Buy,full_buy,flush,3,0,1,8,gun,False,False,False,0.52,True,T,-3,0.0,0.0,0.0,T,0
big-vs-fnatic-m1-overpass,Rio,de_overpass,9,BIG,Fnatic,3,5,-2,5650,24050,-18400,6250,6850,Semi Eco,Full Buy,broke,flush,4,0,1,9,gun,False,False,False,0.52,True,T,-4,0.0,0.0,0.0,T,0
big-vs-fnatic-m1-overpass,Rio,de_overpass,10,BIG,Fnatic,3,6,-3,27000,25700,1300,26200,17250,Full Buy,Full Buy,full_buy,flush,5,0,1,10,gun,False,False,False,0.52,False,CT,0,0.0,0.0,0.0,CT,1
big-vs-fnatic-m1-overpass,Rio,de_overpass,11,BIG,Fnatic,4,6,-2,26700,27150,-450,16050,26150,Full Buy,Full Buy,full_buy,flush,0,1,1,11,gun,False,False,False,0.52,True,CT,1,1.0,0.0,0.0,CT,1
big-vs-fnatic-m1-overpass,Rio,de_overpass,12,BIG,Fnatic,5,6,-1,28050,26850,1200,18900,25850,Full Buy,Full Buy,flush,flush,0,2,1,12,gun,False,False,False,0.52,False,T,0,1.0,1.0,0.0,T,0
