match_id,tournament,map_name,round_num,ct_team,t_team,ct_score,t_score,score_diff,ct_equip_value,t_equip_value,equip_advantage,ct_spend,t_spend,ct_buy_type,t_buy_type,ct_economic_regime,t_economic_regime,ct_consecutive_losses,t_consecutive_losses,half_number,round_in_half,round_phase,is_pistol,is_conversion,is_overtime,baseline_ct_win_prob,bomb_planted,first_kill_side,ct_win_streak,ct_won_lag_1,ct_won_lag_2,ct_won_lag_3,winning_side,ct_wins_round
astralis-vs-heroic-ancient,Stockholm,de_ancient,1,Heroic,Astralis,0,0,0,4100,4500,-400,3300,3500,Full Eco,Full Eco,broke,broke,0,0,1,1,pistol,True,False,False,0.52,False,CT,0,,,,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,2,Heroic,Astralis,1,0,1,19650,1200,18450,17800,200,Semi Buy,Full Eco,full_buy,broke,0,1,1,2,conversion,False,True,False,0.52,False,CT,1,1.0,,,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,3,Heroic,Astralis,2,0,2,22150,22800,-650,5700,21850,Full Buy,Full Buy,full_buy,flush,0,2,1,3,conversion,False,True,False,0.52,True,CT,2,1.0,1.0,,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,4,Heroic,Astralis,3,0,3,27450,16100,11350,20450,16450,Full Buy,Semi Buy,full_buy,full_buy,0,3,1,4,gun,False,False,False,0.52,True,CT,3,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,5,Heroic,Astralis,4,0,4,31250,25100,6150,13800,24100,Full Buy,Full Buy,flush,flush,0,4,1,5,gun,False,False,False,0.52,True,CT,4,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,6,Heroic,Astralis,5,0,5,30350,23150,7200,18600,22850,Full Buy,Full Buy,flush,flush,0,5,1,6,gun,False,False,False,0.52,False,CT,5,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,7,Heroic,Astralis,6,0,6,30550,7750,22800,10500,7750,Full Buy,Semi Eco,flush,building,0,6,1,7,gun,False,False,False,0.52,False,CT,6,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,8,Heroic,Astralis,7,0,7,31050,26700,4350,4800,25700,Full Buy,Full Buy,flush,flush,0,7,1,8,gun,False,False,False,0.52,True,T,0,1.0,1.0,1.0,T,0
astralis-vs-heroic-ancient,Stockholm,de_ancient,9,Heroic,Astralis,7,1,6,29900,28850,1050,24100,11500,Full Buy,Full Buy,flush,flush,1,0,1,9,gun,False,False,False,0.52,False,CT,0,0.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,10,Heroic,Astralis,8,1,7,30750,28050,2700,7950,15100,Full Buy,Full Buy,flush,flush,0,1,1,10,gun,False,False,False,0.52,True,T,0,1.0,0.0,1.0,T,0
astralis-vs-heroic-ancient,Stockholm,de_ancient,11,Heroic,Astralis,8,2,6,30800,27100,3700,17000,4500,Full Buy,Full Buy,flush,flush,1,0,1,11,gun,False,False,False,0.52,False,CT,0,0.0,1.0,0.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,12,Heroic,Astralis,9,2,7,30550,25100,5450,10050,24300,Full Buy,Full Buy,flush,flush,0,1,1,12,gun,False,False,False,0.52,False,CT,1,1.0,0.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,13,Heroic,Astralis,10,2,8,30750,7050,23700,5400,8650,Full Buy,Semi Eco,flush,building,0,2,1,13,gun,False,False,False,0.52,False,CT,2,1.0,1.0,0.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,14,Heroic,Astralis,11,2,9,32850,25000,7850,8100,24000,Full Buy,Full Buy,flush,flush,0,3,1,14,gun,False,False,False,0.52,False,CT,3,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,15,Heroic,Astralis,12,2,10,32850,20850,12000,17250,19850,Full Buy,Full Buy,flush,full_buy,0,4,1,15,gun,False,False,False,0.52,True,CT,4,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,16,Heroic,Astralis,2,13,-11,4400,4300,100,3400,3500,Full Eco,Full Eco,broke,broke,0,0,2,1,pistol,True,False,False,0.52,True,T,0,1.0,1.0,1.0,T,0
astralis-vs-heroic-ancient,Stockholm,de_ancient,17,Heroic,Astralis,2,14,-12,10600,19200,-8600,10500,18200,Semi Buy,Semi Buy,building,full_buy,1,0,2,2,conversion,False,True,False,0.52,True,T,-1,0.0,1.0,1.0,T,0
astralis-vs-heroic-ancient,Stockholm,de_ancient,18,Heroic,Astralis,2,15,-13,13250,24300,-11050,12850,15800,Semi Buy,Full Buy,building,flush,2,0,2,3,conversion,False,True,False,0.52,True,T,0,0.0,0.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,19,Heroic,Astralis,3,15,-12,26550,1000,25550,17300,400,Full Buy,Full Eco,full_buy,broke,0,1,2,4,gun,False,False,False,0.52,False,CT,1,1.0,0.0,0.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,20,Heroic,Astralis,4,15,-11,29200,24850,4350,9800,23850,Full Buy,Full Buy,flush,flush,0,2,2,5,gun,False,False,False,0.52,False,T,2,1.0,1.0,0.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,21,Heroic,Astralis,5,15,-10,28800,2800,26000,19500,2400,Full Buy,Full Eco,flush,broke,0,3,2,6,gun,False,False,False,0.52,True,CT,3,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,22,Heroic,Astralis,6,15,-9,31650,25000,6650,13000,24600,Full Buy,Full Buy,flush,flush,0,4,2,7,gun,False,False,False,0.52,True,CT,4,1.0,1.0,1.0,CT,1
astralis-vs-heroic-ancient,Stockholm,de_ancient,23,Heroic,Astralis,7,15,-8,33300,11200,22100,19550,11600,Full Buy,Semi Buy,flush,building,0,5,2,8,gun,False,False,False,0.52,True,T,0,1.0,1.0,1.0,T,0
astralis-vs-vitality-m1-nuke,Stockholm,de_nuke,1,Vitality,Astralis,0,0,0,4250,4250,0,3250,3450,Full Eco,Full Eco,broke,broke,0,0,1,1,pistol,True,False,False,0.57,False,CT,0,,,,CT,1
astralis-vs-vitality-m1-nuke,Stockholm,de_nuke,2,Vitality,Astralis,1,0,1,19800,10950,8850,17850,10750,Semi Buy,Semi Buy,full_buy,building,0,1,1,2,conversion,False,True,False,0.57,False,CT,1,1.0,,,CT,1
astralis-vs-vitality-m1-nuke,Stockholm,de_nuke,3,Vitality,Astralis,2,0,2,21900,2100,19800,7950,2300,Full Buy,Full Eco,full_buy,broke,0,2,1,3,conversion,False,True,False,0.57,False,CT,2,1.0,1.0,,CT,1
